Distance LossRate
10 6.95
11 8.27
12 9.7
13 11.22
14 12.85
15 14.57
16 16.38
17 18.28
18 20.25
19 22.31
20 24.43
21 26.62
22 28.87
23 31.17
24 33.52
25 35.91
26 38.33
27 40.77
28 43.24
29 45.71
30 48.2
31 50.67
32 53.14
33 55.59
34 58.02
35 60.41
36 62.77
37 65.09
38 67.35
39 69.56
40 71.71
41 73.79
42 75.8
43 77.74
44 79.59
45 81.37
46 83.06
47 84.66
48 86.17
49 87.59
50 88.92
51 90.16
52 91.31
53 92.37
54 93.34
55 94.22
56 95.02
57 95.75
58 96.39
59 96.97
60 97.47
61 97.91
62 98.29
63 98.62
64 98.9
65 99.13
66 99.33
67 99.48
68 99.61
69 99.71
70 99.79
71 99.85
72 99.9
73 99.93
74 99.96
75 99.97
76 99.98
77 99.99
78 99.99
79 100.0
80 100.0
81 100.0
82 100.0
83 100.0
84 100.0
85 100.0
86 100.0
87 100.0
88 100.0
89 100.0
90 100.0
91 100.0
92 100.0
93 100.0
94 100.0
95 100.0
96 100.0
97 100.0
98 100.0
99 100.0
100 100.0
