Distance Frequency LossRate
30 24000000000 36.6
30 25000000000 39.4
30 26000000000 42.24
30 27000000000 45.1
30 28000000000 47.98
30 29000000000 50.87
30 30000000000 53.76
30 31000000000 56.62
30 32000000000 59.46
30 33000000000 62.26
30 34000000000 65.01
30 35000000000 67.69
30 36000000000 70.3
30 37000000000 72.83
30 38000000000 75.26
30 39000000000 77.6
30 40000000000 79.82
30 41000000000 81.94
30 42000000000 83.93
30 43000000000 85.79
30 44000000000 87.53
30 45000000000 89.14
30 46000000000 90.61
30 47000000000 91.96
30 48000000000 93.17
30 49000000000 94.26
30 50000000000 95.23
30 51000000000 96.08
30 52000000000 96.82
