Time[s] TxPosX[m] TxPosY[m] TxPosZ[m] RxPosX[m] RxPosY[m] RxPosZ[m] ChannelState SNR[dB] Pathloss[dB]
0 250 1 1.5 250 0 1.5 LOS 69.2269 65.1083
1 250 17.6282 1.5 250 8.33333 1.5 LOS -12.77 81.2779
2 250 34.2564 1.5 250 16.6667 1.5 LOS -97.4723 85.9041
3 250 50.8845 1.5 250 25 1.5 LOS -185.504 88.706
4 250 67.5127 1.5 250 33.3333 1.5 LOS -278.258 90.7221
5 250 84.1409 1.5 250 41.6667 1.5 NLOSv -385.212 102.811
6 250 100.769 1.5 250 50 1.5 LOS -474.95 93.5918
7 250 117.397 1.5 250 58.3333 1.5 NLOSv -585.729 98.8283
8 250 134.025 1.5 250 66.6667 1.5 NLOSv -692.42 108.753
9 250 150.654 1.5 250 75 1.5 NLOSv -794.762 109.828
10 250 167.282 1.5 250 83.3333 1.5 NLOSv -898.54 102.737
11 250 183.91 1.5 250 91.6667 1.5 NLOSv -1008.33 103.003
12 250 200.538 1.5 250 100 1.5 LOS -1097.04 98.5472
13 250 217.166 1.5 250 108.333 1.5 NLOSv -1208.03 103.774
14 250 233.794 1.5 250 116.667 1.5 LOS -1303.29 99.6549
15 250 250.423 1.5 250 125 1.5 NLOSv -1416.46 110.396
16 250 267.051 1.5 250 133.333 1.5 NLOSv -1520.2 105.927
17 250 283.679 1.5 250 141.667 1.5 NLOSv -1638.01 110.953
18 250 300.307 1.5 250 150 1.5 LOS -1728.35 101.464
19 250 316.935 1.5 250 158.333 1.5 NLOSv -1841.79 108.621
20 250 333.564 1.5 250 166.667 1.5 NLOSv -1950.44 113.539
21 250 350.192 1.5 250 175 1.5 NLOSv -2060.14 105.938
22 250 366.82 1.5 250 183.333 1.5 NLOSv -2171.48 107.046
23 250 383.448 1.5 250 191.667 1.5 NLOSv -2292.17 116.486
24 250 400.076 1.5 250 200 1.5 NLOSv -2399.64 111.629
25 250 416.704 1.5 250 208.333 1.5 NLOSv -2511.08 108.986
26 249.667 433 1.5 250 216.667 1.5 NLOSv -2615.97 107.543
27 233 433 1.5 250 225 1.5 NLOS -2743.98 133.787
28 216.333 433 1.5 250 233.333 1.5 NLOS -2878.63 133.393
29 199.667 433 1.5 250 241.667 1.5 NLOS -3009.21 133.091
30 183 433 1.5 250 250 1.5 NLOS -inf 132.894
31 166.333 433 1.5 250 258.333 1.5 NLOS -inf 132.813
32 149.667 433 1.5 250 266.667 1.5 NLOS -inf 132.852
33 133 433 1.5 250 275 1.5 NLOS -inf 133.009
34 116.333 433 1.5 250 283.333 1.5 NLOS -inf 133.276
35 99.6667 433 1.5 250 291.667 1.5 NLOS -inf 133.639
36 83 433 1.5 250 300 1.5 NLOS -inf 134.083
37 66.3333 433 1.5 250 308.333 1.5 NLOS -inf 134.591
38 49.6667 433 1.5 250 316.667 1.5 NLOS -inf 135.147
39 33 433 1.5 250 325 1.5 NLOS -inf 135.737
40 16.3333 433 1.5 250 333.333 1.5 NLOS -inf 136.348
41 0 433 1.5 250 341.667 1.5 NLOS -inf 136.956
42 0 433 1.5 250 350 1.5 NLOS -inf 136.821
43 0 433 1.5 250 358.333 1.5 NLOS -inf 136.696
44 0 433 1.5 250 366.667 1.5 NLOS -inf 136.583
45 0 433 1.5 250 375 1.5 NLOS -inf 136.481
46 0 433 1.5 250 383.333 1.5 NLOS -inf 136.392
47 0 433 1.5 250 391.667 1.5 NLOS -inf 136.315
48 0 433 1.5 250 400 1.5 NLOS -inf 136.252
49 0 433 1.5 250 408.333 1.5 NLOS -inf 136.203
50 0 433 1.5 250 416.667 1.5 NLOS -inf 136.167
51 0 433 1.5 250 425 1.5 NLOSv -inf 110.974
52 0 433 1.5 250 433.333 1.5 NLOSv -inf 124.294
53 0 433 1.5 250 441.667 1.5 NLOSv -inf 113.922
54 0 433 1.5 250 450 1.5 NLOS -inf 136.17
55 0 433 1.5 250 458.333 1.5 NLOS -inf 136.206
56 0 433 1.5 250 466.667 1.5 NLOS -inf 136.257
57 0 433 1.5 250 475 1.5 NLOS -inf 136.321
58 0 433 1.5 250 483.333 1.5 NLOS -inf 136.398
59 0 433 1.5 250 491.667 1.5 NLOS -inf 136.489
